2026-03-08 00:36:01,057 | GoogleMapsScraper    | INFO     |   [100/200] Extracting: https://www.google.com/maps/place/Donna%27s+Eatery/data=!4m7!3m6!1s0x53a0274e861…
2026-03-08 00:36:32,411 | GoogleMapsScraper    | INFO     |   [101/200] Extracting: https://www.google.com/maps/place/Phoenix+Diner/data=!4m7!3m6!1s0x53a023518c7bc4…
2026-03-08 00:37:24,525 | GoogleMapsScraper    | INFO     |   [102/200] Extracting: https://www.google.com/maps/place/Jay+Bee%27s+Beverly/data=!4m7!3m6!1s0x53a03d28…
2026-03-08 00:37:31,391 | GoogleMapsScraper    | INFO     |   [103/200] Extracting: https://www.google.com/maps/place/Brunch+Glory/data=!4m7!3m6!1s0x53a023575dda908…
2026-03-08 00:37:38,661 | GoogleMapsScraper    | INFO     |   [104/200] Extracting: https://www.google.com/maps/place/Urban+Diner/data=!4m7!3m6!1s0x53a0222b071cbc4f…
2026-03-08 00:37:46,643 | GoogleMapsScraper    | INFO     |   [105/200] Extracting: https://www.google.com/maps/place/Pat+%26+Mike%27s+Family+Restaurant/data=!4m7!3…
2026-03-08 00:38:03,175 | GoogleMapsScraper    | INFO     |   [106/200] Extracting: https://www.google.com/maps/place/Ecity+Flame+%28Best+Offer+on+Website%29/data=!…
2026-03-08 00:38:11,301 | GoogleMapsScraper    | INFO     |   [107/200] Extracting: https://www.google.com/maps/place/Canyon+Grill/data=!4m7!3m6!1s0x53a023630059f1b…
2026-03-08 00:38:22,164 | GoogleMapsScraper    | INFO     |   [108/200] Extracting: https://www.google.com/maps/place/Brunch+Glory/data=!4m7!3m6!1s0x53a025f14f88548…
2026-03-08 00:38:36,245 | GoogleMapsScraper    | INFO     |   [109/200] Extracting: https://www.google.com/maps/place/Hathaway%27s+Diner/data=!4m7!3m6!1s0x53a02474c…
2026-03-08 00:38:43,068 | GoogleMapsScraper    | INFO     |   [110/200] Extracting: https://www.google.com/maps/place/Smitty%27s+Family+Restaurant+-+Edmonton+West+E…
2026-03-08 00:38:53,774 | GoogleMapsScraper    | INFO     |   [111/200] Extracting: https://www.google.com/maps/place/Ricky%27s+All+Day+Grill+-+170th+Holiday+Inn/da…
2026-03-08 00:39:03,050 | GoogleMapsScraper    | INFO     |   [112/200] Extracting: https://www.google.com/maps/place/Ricky%27s+All+Day+Grill+-+Mill+Creek/data=!4m7…
2026-03-08 00:39:10,367 | GoogleMapsScraper    | INFO     |   [113/200] Extracting: https://www.google.com/maps/place/Bernardo+Diner/data=!4m7!3m6!1s0x53a019761144c…
2026-03-08 00:39:30,345 | GoogleMapsScraper    | INFO     |   [114/200] Extracting: https://www.google.com/maps/place/Smitty%27s+Restaurant+%26+Lounge+-+Edmonton+Mi…
2026-03-08 00:39:45,191 | GoogleMapsScraper    | INFO     |   [115/200] Extracting: https://www.google.com/maps/place/Gracie%27s+Place+%28Coco%27s+Nest+Family+Resta…
2026-03-08 00:39:53,587 | GoogleMapsScraper    | INFO     |   [116/200] Extracting: https://www.google.com/maps/place/Denny%27s+Restaurant/data=!4m7!3m6!1s0x53a020e…
2026-03-08 00:40:05,805 | GoogleMapsScraper    | INFO     |   [117/200] Extracting: https://www.google.com/maps/place/Ricky%27s+All+Day+Grill+-+South+Common/data=!4…
2026-03-08 00:40:13,203 | GoogleMapsScraper    | INFO     |   [118/200] Extracting: https://www.google.com/maps/place/Studio+99/data=!4m7!3m6!1s0x53a0239a3c8114e9:0…
2026-03-08 00:40:22,527 | GoogleMapsScraper    | INFO     |   [119/200] Extracting: https://www.google.com/maps/place/Harvey%27s/data=!4m7!3m6!1s0x53a02235de527279:…
2026-03-08 00:40:31,911 | GoogleMapsScraper    | INFO     |   [120/200] Extracting: https://www.google.com/maps/place/Rooster+Kitchen+%26+Bar/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:40:41,065 | GoogleMapsScraper    | INFO     |   [121/200] Extracting: https://www.google.com/maps/place/4Monsters+Diner/data=!4m7!3m6!1s0x53a021c05417…
2026-03-08 00:41:00,899 | GoogleMapsScraper    | INFO     |   [122/200] Extracting: https://www.google.com/maps/place/Ricky%27s+All+Day+Grill+-+Gateway/data=!4m7!3m…
2026-03-08 00:41:07,161 | GoogleMapsScraper    | INFO     |   [123/200] Extracting: https://www.google.com/maps/place/Commodore+Restaurant/data=!4m7!3m6!1s0x53a0223…
2026-03-08 00:41:14,713 | GoogleMapsScraper    | INFO     |   [124/200] Extracting: https://www.google.com/maps/place/Riverside+Bistro+Patio+%26+Dining/data=!4m7!3m…
